WL,Power
1524.000000,-72.572095
1524.005000,-80.000000
1524.010000,-80.000000
1524.015000,-73.736232
1524.020000,-75.959369
1524.025000,-76.608145
1524.030000,-74.346908
1524.035000,-80.000000
1524.040000,-79.636065
1524.045000,-75.996720
1524.050000,-77.980161
1524.055000,-74.769563
1524.060000,-78.229765
1524.065000,-80.000000
1524.070000,-75.871813
1524.075000,-73.466798
1524.080000,-72.681135
1524.085000,-79.334818
1524.090000,-80.000000
1524.095000,-80.000000
1524.100000,-80.000000
1524.105000,-77.395887
1524.110000,-77.916710
1524.115000,-80.000000
1524.120000,-80.000000
1524.125000,-80.000000
1524.130000,-80.000000
1524.135000,-80.000000
1524.140000,-80.000000
1524.145000,-79.925319
1524.150000,-79.785419
1524.155000,-80.000000
1524.160000,-80.000000
1524.165000,-80.000000
1524.170000,-80.000000
1524.175000,-80.000000
1524.180000,-80.000000
1524.185000,-80.000000
1524.190000,-80.000000
1524.195000,-74.730692
1524.200000,-74.643567
1524.205000,-80.000000
1524.210000,-80.000000
1524.215000,-80.000000
1524.220000,-80.000000
1524.225000,-77.214365
1524.230000,-71.178822
1524.235000,-80.000000
1524.240000,-80.000000
1524.245000,-80.000000
1524.250000,-80.000000
1524.255000,-80.000000
1524.260000,-80.000000
1524.265000,-78.111956
1524.270000,-79.273829
1524.275000,-80.000000
1524.280000,-77.240550
1524.285000,-79.387354
1524.290000,-78.752662
1524.295000,-80.000000
1524.300000,-78.048274
1524.305000,-79.486115
1524.310000,-80.000000
1524.315000,-80.000000
1524.320000,-79.766126
1524.325000,-79.938359
1524.330000,-80.000000
1524.335000,-80.000000
1524.340000,-80.000000
1524.345000,-76.474063
1524.350000,-71.927460
1524.355000,-80.000000
1524.360000,-80.000000
1524.365000,-80.000000
1524.370000,-80.000000
1524.375000,-80.000000
1524.380000,-78.964056
1524.385000,-76.510274
1524.390000,-79.802468
1524.395000,-80.000000
1524.400000,-80.000000
1524.405000,-80.000000
1524.410000,-73.191004
1524.415000,-75.594179
1524.420000,-80.000000
1524.425000,-76.914222
1524.430000,-77.264084
1524.435000,-80.000000
1524.440000,-80.000000
1524.445000,-80.000000
1524.450000,-72.898965
1524.455000,-80.000000
1524.460000,-80.000000
1524.465000,-78.774708
1524.470000,-79.425037
1524.475000,-80.000000
1524.480000,-80.000000
1524.485000,-80.000000
1524.490000,-80.000000
1524.495000,-80.000000
1524.500000,-80.000000
1524.505000,-79.218487
1524.510000,-73.528554
1524.515000,-75.359774
1524.520000,-80.000000
1524.525000,-80.000000
1524.530000,-80.000000
1524.535000,-80.000000
1524.540000,-74.896855
1524.545000,-77.234870
1524.550000,-80.000000
1524.555000,-80.000000
1524.560000,-80.000000
1524.565000,-75.091896
1524.570000,-73.468625
1524.575000,-78.606580
1524.580000,-80.000000
1524.585000,-80.000000
1524.590000,-77.133203
1524.595000,-76.939126
1524.600000,-80.000000
1524.605000,-80.000000
1524.610000,-80.000000
1524.615000,-80.000000
1524.620000,-80.000000
1524.625000,-80.000000
1524.630000,-77.742846
1524.635000,-70.253045
1524.640000,-77.705630
1524.645000,-80.000000
1524.650000,-80.000000
1524.655000,-80.000000
1524.660000,-80.000000
1524.665000,-79.771476
1524.670000,-74.165854
1524.675000,-71.039469
1524.680000,-80.000000
1524.685000,-80.000000
1524.690000,-80.000000
1524.695000,-74.397896
1524.700000,-76.329656
1524.705000,-80.000000
1524.710000,-78.198133
1524.715000,-72.428354
1524.720000,-69.377691
1524.725000,-72.305591
1524.730000,-76.937467
1524.735000,-78.885461
1524.740000,-77.017292
1524.745000,-80.000000
1524.750000,-80.000000
1524.755000,-76.505430
1524.760000,-78.104136
1524.765000,-79.856170
1524.770000,-75.381742
1524.775000,-73.440426
1524.780000,-77.568104
1524.785000,-73.997746
1524.790000,-80.000000
1524.795000,-80.000000
1524.800000,-80.000000
1524.805000,-80.000000
1524.810000,-80.000000
1524.815000,-75.892264
1524.820000,-75.195291
1524.825000,-79.708641
1524.830000,-80.000000
1524.835000,-80.000000
1524.840000,-80.000000
1524.845000,-80.000000
1524.850000,-80.000000
1524.855000,-73.776881
1524.860000,-78.444220
1524.865000,-80.000000
1524.870000,-80.000000
1524.875000,-80.000000
1524.880000,-80.000000
1524.885000,-80.000000
1524.890000,-80.000000
1524.895000,-80.000000
1524.900000,-80.000000
1524.905000,-80.000000
1524.910000,-80.000000
1524.915000,-80.000000
1524.920000,-80.000000
1524.925000,-80.000000
1524.930000,-80.000000
1524.935000,-80.000000
1524.940000,-78.437791
1524.945000,-76.324214
1524.950000,-80.000000
1524.955000,-80.000000
1524.960000,-77.906813
1524.965000,-75.281897
1524.970000,-78.809953
1524.975000,-75.485692
1524.980000,-67.923355
1524.985000,-75.157646
1524.990000,-80.000000
1524.995000,-80.000000
1525.000000,-80.000000
1525.005000,-70.686404
1525.010000,-80.000000
1525.015000,-80.000000
1525.020000,-78.096356
1525.025000,-76.192713
1525.030000,-80.000000
1525.035000,-80.000000
1525.040000,-80.000000
1525.045000,-79.064571
1525.050000,-79.240739
1525.055000,-78.817386
1525.060000,-78.131048
1525.065000,-80.000000
1525.070000,-80.000000
1525.075000,-80.000000
1525.080000,-74.820818
1525.085000,-77.453569
1525.090000,-80.000000
1525.095000,-77.802476
1525.100000,-74.332700
1525.105000,-79.927213
1525.110000,-76.287867
1525.115000,-79.019976
1525.120000,-77.433264
1525.125000,-78.304819
1525.130000,-80.000000
1525.135000,-80.000000
1525.140000,-80.000000
1525.145000,-80.000000
1525.150000,-78.083789
1525.155000,-75.084281
1525.160000,-80.000000
1525.165000,-80.000000
1525.170000,-80.000000
1525.175000,-80.000000
1525.180000,-80.000000
1525.185000,-80.000000
1525.190000,-80.000000
1525.195000,-79.277249
1525.200000,-77.470370
1525.205000,-80.000000
1525.210000,-80.000000
1525.215000,-77.398560
1525.220000,-79.326035
1525.225000,-80.000000
1525.230000,-79.090870
1525.235000,-79.863387
1525.240000,-80.000000
1525.245000,-80.000000
1525.250000,-80.000000
1525.255000,-80.000000
1525.260000,-74.597732
1525.265000,-70.465403
1525.270000,-74.455478
1525.275000,-80.000000
1525.280000,-80.000000
1525.285000,-77.957991
1525.290000,-73.157305
1525.295000,-80.000000
1525.300000,-79.483064
1525.305000,-76.346657
1525.310000,-79.283390
1525.315000,-73.565137
1525.320000,-80.000000
1525.325000,-80.000000
1525.330000,-80.000000
1525.335000,-79.273185
1525.340000,-75.521572
1525.345000,-75.194182
1525.350000,-80.000000
1525.355000,-75.336986
1525.360000,-78.748947
1525.365000,-73.343019
1525.370000,-80.000000
1525.375000,-77.156736
1525.380000,-73.750143
1525.385000,-79.078117
1525.390000,-80.000000
1525.395000,-80.000000
1525.400000,-79.865416
1525.405000,-73.136220
1525.410000,-79.236542
1525.415000,-80.000000
1525.420000,-74.861358
1525.425000,-78.122712
1525.430000,-80.000000
1525.435000,-80.000000
1525.440000,-80.000000
1525.445000,-80.000000
1525.450000,-80.000000
1525.455000,-75.461471
1525.460000,-72.249025
1525.465000,-73.911919
1525.470000,-80.000000
1525.475000,-80.000000
1525.480000,-76.780104
