WL,Power
1524.000,-77.425,-72.572,-78.229,-78.899,-80.000
1524.005,-78.349,-80.000,-80.000,-73.396,-80.000
1524.010,-79.593,-80.000,-80.000,-78.375,-80.000
1524.015,-78.113,-73.736,-80.000,-78.719,-80.000
1524.020,-78.677,-75.959,-80.000,-78.750,-80.000
1524.025,-77.916,-76.608,-80.000,-77.597,-77.462
1524.030,-75.164,-74.346,-80.000,-72.616,-73.696
1524.035,-77.454,-80.000,-80.000,-76.004,-73.814
1524.040,-79.613,-79.636,-80.000,-79.773,-79.044
1524.045,-77.053,-75.996,-80.000,-80.000,-72.217
1524.050,-78.423,-77.980,-80.000,-76.578,-79.136
1524.055,-78.245,-74.769,-80.000,-78.212,-80.000
1524.060,-77.457,-78.229,-80.000,-77.969,-73.633
1524.065,-78.950,-80.000,-80.000,-78.412,-77.391
1524.070,-78.903,-75.871,-80.000,-80.000,-79.741
1524.075,-78.366,-73.466,-80.000,-80.000,-80.000
1524.080,-78.170,-72.681,-80.000,-80.000,-80.000
1524.085,-78.148,-79.334,-73.258,-80.000,-80.000
1524.090,-78.081,-80.000,-80.000,-72.327,-80.000
1524.095,-79.851,-80.000,-79.407,-80.000,-80.000
1524.100,-78.129,-80.000,-76.291,-80.000,-76.225
1524.105,-77.306,-77.395,-80.000,-76.550,-75.282
1524.110,-77.259,-77.916,-80.000,-75.029,-76.093
1524.115,-79.220,-80.000,-80.000,-79.914,-76.969
1524.120,-79.938,-80.000,-80.000,-80.000,-79.754
1524.125,-77.636,-80.000,-80.000,-73.299,-77.245
1524.130,-79.896,-80.000,-80.000,-79.586,-80.000
1524.135,-79.187,-80.000,-80.000,-76.749,-80.000
1524.140,-80.000,-80.000,-80.000,-80.000,-80.000
1524.145,-79.981,-79.925,-80.000,-80.000,-80.000
1524.150,-79.946,-79.785,-80.000,-80.000,-80.000
1524.155,-80.000,-80.000,-80.000,-80.000,-80.000
1524.160,-79.787,-80.000,-79.151,-80.000,-80.000
1524.165,-78.019,-80.000,-72.643,-80.000,-79.434
1524.170,-78.879,-80.000,-79.583,-80.000,-75.936
1524.175,-78.238,-80.000,-80.000,-80.000,-72.953
1524.180,-79.744,-80.000,-80.000,-80.000,-78.976
1524.185,-78.867,-80.000,-75.470,-80.000,-80.000
1524.190,-76.877,-80.000,-72.360,-75.330,-79.818
1524.195,-76.420,-74.730,-75.666,-75.402,-79.884
1524.200,-78.660,-74.643,-80.000,-80.000,-80.000
1524.205,-80.000,-80.000,-80.000,-80.000,-80.000
1524.210,-79.847,-80.000,-80.000,-79.390,-80.000
1524.215,-79.021,-80.000,-80.000,-76.430,-79.654
1524.220,-77.662,-80.000,-80.000,-73.311,-77.340
1524.225,-77.761,-77.214,-80.000,-80.000,-73.831
1524.230,-76.383,-71.178,-78.834,-80.000,-75.522
1524.235,-78.280,-80.000,-74.499,-80.000,-78.621
1524.240,-77.160,-80.000,-76.688,-78.838,-73.114
1524.245,-76.490,-80.000,-79.015,-74.732,-72.213
1524.250,-78.778,-80.000,-76.280,-78.833,-80.000
1524.255,-78.973,-80.000,-80.000,-75.894,-80.000
1524.260,-80.000,-80.000,-80.000,-80.000,-80.000
1524.265,-78.414,-78.111,-80.000,-75.547,-80.000
1524.270,-79.008,-79.273,-80.000,-76.761,-80.000
1524.275,-78.331,-80.000,-80.000,-73.326,-80.000
1524.280,-79.310,-77.240,-80.000,-80.000,-80.000
1524.285,-79.846,-79.387,-80.000,-80.000,-80.000
1524.290,-79.688,-78.752,-80.000,-80.000,-80.000
1524.295,-78.863,-80.000,-80.000,-80.000,-75.453
1524.300,-78.583,-78.048,-80.000,-80.000,-76.285
1524.305,-79.803,-79.486,-80.000,-80.000,-79.728
1524.310,-79.251,-80.000,-80.000,-80.000,-77.007
1524.315,-79.968,-80.000,-80.000,-80.000,-79.875
1524.320,-79.941,-79.766,-80.000,-80.000,-80.000
1524.325,-78.186,-79.938,-72.809,-80.000,-80.000
1524.330,-79.161,-80.000,-76.646,-80.000,-80.000
1524.335,-79.715,-80.000,-80.000,-80.000,-78.863
1524.340,-79.534,-80.000,-80.000,-78.849,-79.290
1524.345,-78.526,-76.474,-80.000,-77.631,-80.000
1524.350,-77.889,-71.927,-80.000,-79.629,-80.000
1524.355,-79.008,-80.000,-79.859,-76.542,-79.634
1524.360,-78.374,-80.000,-76.341,-79.354,-77.804
1524.365,-79.633,-80.000,-78.835,-80.000,-79.697
1524.370,-80.000,-80.000,-80.000,-80.000,-80.000
1524.375,-79.294,-80.000,-77.178,-80.000,-80.000
1524.380,-78.364,-78.964,-74.493,-80.000,-80.000
1524.385,-79.127,-76.510,-80.000,-80.000,-80.000
1524.390,-79.302,-79.802,-80.000,-77.406,-80.000
1524.395,-79.776,-80.000,-80.000,-79.107,-80.000
1524.400,-80.000,-80.000,-80.000,-80.000,-80.000
1524.405,-80.000,-80.000,-80.000,-80.000,-80.000
1524.410,-78.297,-73.191,-80.000,-80.000,-80.000
1524.415,-78.898,-75.594,-80.000,-80.000,-80.000
1524.420,-80.000,-80.000,-80.000,-80.000,-80.000
1524.425,-77.959,-76.914,-80.000,-75.893,-79.032
1524.430,-77.155,-77.264,-80.000,-72.030,-79.328
1524.435,-79.180,-80.000,-80.000,-76.721,-80.000
1524.440,-78.293,-80.000,-76.196,-76.976,-80.000
1524.445,-78.819,-80.000,-77.614,-77.663,-80.000
1524.450,-78.224,-72.898,-80.000,-80.000,-80.000
1524.455,-80.000,-80.000,-80.000,-80.000,-80.000
1524.460,-77.634,-80.000,-77.035,-73.501,-80.000
1524.465,-79.693,-78.774,-80.000,-80.000,-80.000
1524.470,-79.856,-79.425,-80.000,-80.000,-80.000
1524.475,-80.000,-80.000,-80.000,-80.000,-80.000
1524.480,-79.906,-80.000,-80.000,-80.000,-79.625
1524.485,-76.388,-80.000,-68.520,-80.000,-77.032
1524.490,-79.941,-80.000,-79.765,-80.000,-80.000
1524.495,-80.000,-80.000,-80.000,-80.000,-80.000
1524.500,-79.911,-80.000,-79.645,-80.000,-80.000
1524.505,-77.350,-79.218,-71.831,-78.354,-80.000
1524.510,-78.307,-73.528,-79.797,-79.906,-80.000
1524.515,-76.185,-75.359,-74.744,-74.637,-80.000
1524.520,-79.665,-80.000,-79.690,-78.973,-80.000
1524.525,-80.000,-80.000,-80.000,-80.000,-80.000
1524.530,-79.554,-80.000,-78.218,-80.000,-80.000
1524.535,-76.348,-80.000,-79.430,-74.958,-71.005
1524.540,-76.134,-74.896,-75.289,-76.527,-77.826
1524.545,-78.513,-77.234,-76.820,-80.000,-80.000
1524.550,-79.731,-80.000,-80.000,-80.000,-78.924
1524.555,-79.841,-80.000,-80.000,-80.000,-79.367
1524.560,-79.143,-80.000,-80.000,-76.572,-80.000
1524.565,-77.266,-75.091,-80.000,-73.976,-80.000
1524.570,-77.545,-73.468,-76.715,-80.000,-80.000
1524.575,-78.709,-78.606,-76.231,-80.000,-80.000
1524.580,-79.326,-80.000,-80.000,-77.305,-80.000
1524.585,-78.740,-80.000,-80.000,-74.961,-80.000
1524.590,-79.283,-77.133,-80.000,-80.000,-80.000
1524.595,-79.234,-76.939,-80.000,-80.000,-80.000
1524.600,-80.000,-80.000,-80.000,-80.000,-80.000
1524.605,-80.000,-80.000,-80.000,-80.000,-80.000
1524.610,-80.000,-80.000,-80.000,-80.000,-80.000
1524.615,-78.555,-80.000,-80.000,-80.000,-74.221
1524.620,-80.000,-80.000,-80.000,-80.000,-80.000
1524.625,-80.000,-80.000,-80.000,-80.000,-80.000
1524.630,-79.435,-77.742,-80.000,-80.000,-80.000
1524.635,-77.366,-70.253,-80.000,-79.214,-80.000
1524.640,-78.714,-77.705,-80.000,-77.154,-80.000
1524.645,-79.260,-80.000,-77.043,-80.000,-80.000
1524.650,-79.415,-80.000,-77.663,-80.000,-80.000
1524.655,-79.256,-80.000,-80.000,-77.025,-80.000
1524.660,-77.792,-80.000,-80.000,-71.242,-79.929
1524.665,-77.685,-79.771,-73.448,-78.998,-78.526
1524.670,-76.791,-74.165,-73.001,-80.000,-80.000
1524.675,-77.724,-71.039,-79.860,-80.000,-80.000
1524.680,-79.934,-80.000,-79.738,-80.000,-80.000
1524.685,-79.770,-80.000,-79.080,-80.000,-80.000
